sample_id,formula,reduced_formula,anonymous_formula,element_set,n_unique_elements,elements_json,element_counts_json,n_sites,target
954,Cr1 Re1 N1 O2,CrReNO2,ABCD2,Cr-N-O-Re,4,"[""Cr"", ""N"", ""O"", ""Re""]","{""Cr"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Re"": 1.0}",5,1.5
955,Co1 Re1 N2 O1,CoReN2O,ABCD2,Co-N-O-Re,4,"[""Co"", ""N"", ""O"", ""Re""]","{""Co"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Re"": 1.0}",5,1.32
956,La1 Au1 S1 O2,LaAuSO2,ABCD2,Au-La-O-S,4,"[""Au"", ""La"", ""O"", ""S""]","{""Au"": 1.0, ""La"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.08
957,Cs1 Ni1 N2 O1,CsNiN2O,ABCD2,Cs-N-Ni-O,4,"[""Cs"", ""N"", ""Ni"", ""O""]","{""Cs"": 1.0, ""N"": 2.0, ""Ni"": 1.0, ""O"": 1.0}",5,4.08
958,Bi1 Au1 O2 F1,BiAuO2F,ABCD2,Au-Bi-F-O,4,"[""Au"", ""Bi"", ""F"", ""O""]","{""Au"": 1.0, ""Bi"": 1.0, ""F"": 1.0, ""O"": 2.0}",5,1.4
959,Be1 Ga1 O2 F1,BeGaO2F,ABCD2,Be-F-Ga-O,4,"[""Be"", ""F"", ""Ga"", ""O""]","{""Be"": 1.0, ""F"": 1.0, ""Ga"": 1.0, ""O"": 2.0}",5,1.04
960,Rb1 Sn1 S1 O2,RbSnSO2,ABCD2,O-Rb-S-Sn,4,"[""O"", ""Rb"", ""S"", ""Sn""]","{""O"": 2.0, ""Rb"": 1.0, ""S"": 1.0, ""Sn"": 1.0}",5,1.12
961,Hg1 W1 N1 O2,HgWNO2,ABCD2,Hg-N-O-W,4,"[""Hg"", ""N"", ""O"", ""W""]","{""Hg"": 1.0, ""N"": 1.0, ""O"": 2.0, ""W"": 1.0}",5,2.76
962,Be1 Ga1 N1 O2,BeGaNO2,ABCD2,Be-Ga-N-O,4,"[""Be"", ""Ga"", ""N"", ""O""]","{""Be"": 1.0, ""Ga"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.7
963,Ti1 In1 N1 O1 F1,TiInNOF,ABCDE,F-In-N-O-Ti,5,"[""F"", ""In"", ""N"", ""O"", ""Ti""]","{""F"": 1.0, ""In"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Ti"": 1.0}",5,1.62
964,Cs1 Ir1 S1 O2,CsIrSO2,ABCD2,Cs-Ir-O-S,4,"[""Cs"", ""Ir"", ""O"", ""S""]","{""Cs"": 1.0, ""Ir"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.52
965,Ca1 Mg1 N1 O1 F1,CaMgNOF,ABCDE,Ca-F-Mg-N-O,5,"[""Ca"", ""F"", ""Mg"", ""N"", ""O""]","{""Ca"": 1.0, ""F"": 1.0, ""Mg"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.94
966,Zn1 Cr1 N3,ZnCrN3,ABC3,Cr-N-Zn,3,"[""Cr"", ""N"", ""Zn""]","{""Cr"": 1.0, ""N"": 3.0, ""Zn"": 1.0}",5,1.72
967,Mn1 Pb1 N2 O1,MnPbN2O,ABCD2,Mn-N-O-Pb,4,"[""Mn"", ""N"", ""O"", ""Pb""]","{""Mn"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pb"": 1.0}",5,1.58
968,Co1 Au1 N1 O2,CoAuNO2,ABCD2,Au-Co-N-O,4,"[""Au"", ""Co"", ""N"", ""O""]","{""Au"": 1.0, ""Co"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.98
969,Ag1 Pb1 N2 O1,AgPbN2O,ABCD2,Ag-N-O-Pb,4,"[""Ag"", ""N"", ""O"", ""Pb""]","{""Ag"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pb"": 1.0}",5,2.14
970,Cd1 Cu1 N1 O1 F1,CdCuNOF,ABCDE,Cd-Cu-F-N-O,5,"[""Cd"", ""Cu"", ""F"", ""N"", ""O""]","{""Cd"": 1.0, ""Cu"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.28
971,Cu2 N2 O1,Cu2N2O,AB2C2,Cu-N-O,3,"[""Cu"", ""N"", ""O""]","{""Cu"": 2.0, ""N"": 2.0, ""O"": 1.0}",5,2.2
972,Ta1 Ni1 S1 O2,TaNiSO2,ABCD2,Ni-O-S-Ta,4,"[""Ni"", ""O"", ""S"", ""Ta""]","{""Ni"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Ta"": 1.0}",5,1.42
973,K1 Ru1 S1 O2,KRuSO2,ABCD2,K-O-Ru-S,4,"[""K"", ""O"", ""Ru"", ""S""]","{""K"": 1.0, ""O"": 2.0, ""Ru"": 1.0, ""S"": 1.0}",5,3.72
974,Sr1 Al1 O3,SrAlO3,ABC3,Al-O-Sr,3,"[""Al"", ""O"", ""Sr""]","{""Al"": 1.0, ""O"": 3.0, ""Sr"": 1.0}",5,0.22
975,Cr1 Co1 N3,CrCoN3,ABC3,Co-Cr-N,3,"[""Co"", ""Cr"", ""N""]","{""Co"": 1.0, ""Cr"": 1.0, ""N"": 3.0}",5,0.94
976,Zr1 As1 N2 O1,ZrAsN2O,ABCD2,As-N-O-Zr,4,"[""As"", ""N"", ""O"", ""Zr""]","{""As"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Zr"": 1.0}",5,1.0
977,Ga1 Pt1 S1 O2,GaPtSO2,ABCD2,Ga-O-Pt-S,4,"[""Ga"", ""O"", ""Pt"", ""S""]","{""Ga"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""S"": 1.0}",5,1.24
978,Ir1 Ru1 N3,IrRuN3,ABC3,Ir-N-Ru,3,"[""Ir"", ""N"", ""Ru""]","{""Ir"": 1.0, ""N"": 3.0, ""Ru"": 1.0}",5,1.58
979,Ga1 Co1 N3,GaCoN3,ABC3,Co-Ga-N,3,"[""Co"", ""Ga"", ""N""]","{""Co"": 1.0, ""Ga"": 1.0, ""N"": 3.0}",5,2.3
980,Sn1 Pt1 O3,SnPtO3,ABC3,O-Pt-Sn,3,"[""O"", ""Pt"", ""Sn""]","{""O"": 3.0, ""Pt"": 1.0, ""Sn"": 1.0}",5,1.42
981,La1 Pt1 O2 F1,LaPtO2F,ABCD2,F-La-O-Pt,4,"[""F"", ""La"", ""O"", ""Pt""]","{""F"": 1.0, ""La"": 1.0, ""O"": 2.0, ""Pt"": 1.0}",5,1.62
982,La1 Si1 N3,LaSiN3,ABC3,La-N-Si,3,"[""La"", ""N"", ""Si""]","{""La"": 1.0, ""N"": 3.0, ""Si"": 1.0}",5,0.52
983,K1 Hf1 N1 O1 F1,KHfNOF,ABCDE,F-Hf-K-N-O,5,"[""F"", ""Hf"", ""K"", ""N"", ""O""]","{""F"": 1.0, ""Hf"": 1.0, ""K"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,0.78
984,Ba1 Mg1 N1 O1 F1,BaMgNOF,ABCDE,Ba-F-Mg-N-O,5,"[""Ba"", ""F"", ""Mg"", ""N"", ""O""]","{""Ba"": 1.0, ""F"": 1.0, ""Mg"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,2.22
985,Cs1 Zn1 N3,CsZnN3,ABC3,Cs-N-Zn,3,"[""Cs"", ""N"", ""Zn""]","{""Cs"": 1.0, ""N"": 3.0, ""Zn"": 1.0}",5,2.66
986,Fe1 Pt1 N3,FePtN3,ABC3,Fe-N-Pt,3,"[""Fe"", ""N"", ""Pt""]","{""Fe"": 1.0, ""N"": 3.0, ""Pt"": 1.0}",5,1.66
987,Ti1 Hg1 N3,TiHgN3,ABC3,Hg-N-Ti,3,"[""Hg"", ""N"", ""Ti""]","{""Hg"": 1.0, ""N"": 3.0, ""Ti"": 1.0}",5,2.86
988,Ni1 B1 O3,NiBO3,ABC3,B-Ni-O,3,"[""B"", ""Ni"", ""O""]","{""B"": 1.0, ""Ni"": 1.0, ""O"": 3.0}",5,1.44
989,In1 Ni1 N3,InNiN3,ABC3,In-N-Ni,3,"[""In"", ""N"", ""Ni""]","{""In"": 1.0, ""N"": 3.0, ""Ni"": 1.0}",5,1.58
990,Mn1 Re1 O3,MnReO3,ABC3,Mn-O-Re,3,"[""Mn"", ""O"", ""Re""]","{""Mn"": 1.0, ""O"": 3.0, ""Re"": 1.0}",5,1.36
991,Zn1 Fe1 N3,ZnFeN3,ABC3,Fe-N-Zn,3,"[""Fe"", ""N"", ""Zn""]","{""Fe"": 1.0, ""N"": 3.0, ""Zn"": 1.0}",5,1.36
992,K1 Ti1 N2 O1,KTiN2O,ABCD2,K-N-O-Ti,4,"[""K"", ""N"", ""O"", ""Ti""]","{""K"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Ti"": 1.0}",5,2.46
993,Ti1 V1 N1 O2,TiVNO2,ABCD2,N-O-Ti-V,4,"[""N"", ""O"", ""Ti"", ""V""]","{""N"": 1.0, ""O"": 2.0, ""Ti"": 1.0, ""V"": 1.0}",5,1.02
994,Cs1 Sc1 N3,CsScN3,ABC3,Cs-N-Sc,3,"[""Cs"", ""N"", ""Sc""]","{""Cs"": 1.0, ""N"": 3.0, ""Sc"": 1.0}",5,3.76
995,Ti1 Ag1 S1 O2,TiAgSO2,ABCD2,Ag-O-S-Ti,4,"[""Ag"", ""O"", ""S"", ""Ti""]","{""Ag"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Ti"": 1.0}",5,0.68
996,Mn1 Ge1 N2 O1,MnGeN2O,ABCD2,Ge-Mn-N-O,4,"[""Ge"", ""Mn"", ""N"", ""O""]","{""Ge"": 1.0, ""Mn"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.28
997,Be1 Ru1 O2 F1,BeRuO2F,ABCD2,Be-F-O-Ru,4,"[""Be"", ""F"", ""O"", ""Ru""]","{""Be"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Ru"": 1.0}",5,1.4
998,Hg1 Rh1 N1 O2,HgRhNO2,ABCD2,Hg-N-O-Rh,4,"[""Hg"", ""N"", ""O"", ""Rh""]","{""Hg"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Rh"": 1.0}",5,2.6
999,Ag1 Ge1 N2 O1,AgGeN2O,ABCD2,Ag-Ge-N-O,4,"[""Ag"", ""Ge"", ""N"", ""O""]","{""Ag"": 1.0, ""Ge"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.5
1000,Ti1 Mn1 S1 O2,TiMnSO2,ABCD2,Mn-O-S-Ti,4,"[""Mn"", ""O"", ""S"", ""Ti""]","{""Mn"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Ti"": 1.0}",5,0.52
1001,Fe1 W1 N2 O1,FeWN2O,ABCD2,Fe-N-O-W,4,"[""Fe"", ""N"", ""O"", ""W""]","{""Fe"": 1.0, ""N"": 2.0, ""O"": 1.0, ""W"": 1.0}",5,0.86
1002,Rb1 Mo1 N1 O1 F1,RbMoNOF,ABCDE,F-Mo-N-O-Rb,5,"[""F"", ""Mo"", ""N"", ""O"", ""Rb""]","{""F"": 1.0, ""Mo"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Rb"": 1.0}",5,0.7
1003,Bi1 Pd1 S1 O2,BiPdSO2,ABCD2,Bi-O-Pd-S,4,"[""Bi"", ""O"", ""Pd"", ""S""]","{""Bi"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""S"": 1.0}",5,0.98
1004,In1 Sb1 N1 O2,InSbNO2,ABCD2,In-N-O-Sb,4,"[""In"", ""N"", ""O"", ""Sb""]","{""In"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Sb"": 1.0}",5,0.72
1005,Bi1 Mo1 O3,BiMoO3,ABC3,Bi-Mo-O,3,"[""Bi"", ""Mo"", ""O""]","{""Bi"": 1.0, ""Mo"": 1.0, ""O"": 3.0}",5,0.54
1006,Rb1 Ti1 O2 F1,RbTiO2F,ABCD2,F-O-Rb-Ti,4,"[""F"", ""O"", ""Rb"", ""Ti""]","{""F"": 1.0, ""O"": 2.0, ""Rb"": 1.0, ""Ti"": 1.0}",5,3.12
1007,Si2 S1 O2,Si2SO2,AB2C2,O-S-Si,3,"[""O"", ""S"", ""Si""]","{""O"": 2.0, ""S"": 1.0, ""Si"": 2.0}",5,1.16
1008,Sn1 Hg1 O2 F1,SnHgO2F,ABCD2,F-Hg-O-Sn,4,"[""F"", ""Hg"", ""O"", ""Sn""]","{""F"": 1.0, ""Hg"": 1.0, ""O"": 2.0, ""Sn"": 1.0}",5,1.14
1009,Ba1 Nb1 S1 O2,BaNbSO2,ABCD2,Ba-Nb-O-S,4,"[""Ba"", ""Nb"", ""O"", ""S""]","{""Ba"": 1.0, ""Nb"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,2.66
1010,Zr1 Au1 O2 F1,ZrAuO2F,ABCD2,Au-F-O-Zr,4,"[""Au"", ""F"", ""O"", ""Zr""]","{""Au"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Zr"": 1.0}",5,2.3
1011,Ba1 Li1 N3,BaLiN3,ABC3,Ba-Li-N,3,"[""Ba"", ""Li"", ""N""]","{""Ba"": 1.0, ""Li"": 1.0, ""N"": 3.0}",5,3.42
1012,Mn1 Fe1 N2 O1,MnFeN2O,ABCD2,Fe-Mn-N-O,4,"[""Fe"", ""Mn"", ""N"", ""O""]","{""Fe"": 1.0, ""Mn"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.02
1013,Cs1 Sb1 N3,CsSbN3,ABC3,Cs-N-Sb,3,"[""Cs"", ""N"", ""Sb""]","{""Cs"": 1.0, ""N"": 3.0, ""Sb"": 1.0}",5,3.7
1014,Cs1 Cu1 O2 F1,CsCuO2F,ABCD2,Cs-Cu-F-O,4,"[""Cs"", ""Cu"", ""F"", ""O""]","{""Cs"": 1.0, ""Cu"": 1.0, ""F"": 1.0, ""O"": 2.0}",5,2.52
1015,Sr1 As1 N2 O1,SrAsN2O,ABCD2,As-N-O-Sr,4,"[""As"", ""N"", ""O"", ""Sr""]","{""As"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Sr"": 1.0}",5,3.1
1016,Mg1 Pt1 N2 O1,MgPtN2O,ABCD2,Mg-N-O-Pt,4,"[""Mg"", ""N"", ""O"", ""Pt""]","{""Mg"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pt"": 1.0}",5,2.6
1017,La1 B1 N1 O1 F1,LaBNOF,ABCDE,B-F-La-N-O,5,"[""B"", ""F"", ""La"", ""N"", ""O""]","{""B"": 1.0, ""F"": 1.0, ""La"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,0.98
1018,Fe1 Ag1 N2 O1,FeAgN2O,ABCD2,Ag-Fe-N-O,4,"[""Ag"", ""Fe"", ""N"", ""O""]","{""Ag"": 1.0, ""Fe"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.52
1019,Y1 Nb1 O3,YNbO3,ABC3,Nb-O-Y,3,"[""Nb"", ""O"", ""Y""]","{""Nb"": 1.0, ""O"": 3.0, ""Y"": 1.0}",5,0.38
1020,Hf1 Si1 N2 O1,HfSiN2O,ABCD2,Hf-N-O-Si,4,"[""Hf"", ""N"", ""O"", ""Si""]","{""Hf"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Si"": 1.0}",5,0.72
1021,Sc1 Ir1 N1 O1 F1,ScIrNOF,ABCDE,F-Ir-N-O-Sc,5,"[""F"", ""Ir"", ""N"", ""O"", ""Sc""]","{""F"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Sc"": 1.0}",5,2.02
1022,Ag1 Pd1 O2 F1,AgPdO2F,ABCD2,Ag-F-O-Pd,4,"[""Ag"", ""F"", ""O"", ""Pd""]","{""Ag"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Pd"": 1.0}",5,1.14
1023,In1 Pb1 N2 O1,InPbN2O,ABCD2,In-N-O-Pb,4,"[""In"", ""N"", ""O"", ""Pb""]","{""In"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pb"": 1.0}",5,1.46
1024,Mn1 Pd1 O2 F1,MnPdO2F,ABCD2,F-Mn-O-Pd,4,"[""F"", ""Mn"", ""O"", ""Pd""]","{""F"": 1.0, ""Mn"": 1.0, ""O"": 2.0, ""Pd"": 1.0}",5,1.3
1025,Ca1 Si1 S1 O2,CaSiSO2,ABCD2,Ca-O-S-Si,4,"[""Ca"", ""O"", ""S"", ""Si""]","{""Ca"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Si"": 1.0}",5,0.78
1026,Ni1 Hg1 N1 O2,NiHgNO2,ABCD2,Hg-N-Ni-O,4,"[""Hg"", ""N"", ""Ni"", ""O""]","{""Hg"": 1.0, ""N"": 1.0, ""Ni"": 1.0, ""O"": 2.0}",5,2.56
1027,Sb1 Os1 O2 F1,SbOsO2F,ABCD2,F-O-Os-Sb,4,"[""F"", ""O"", ""Os"", ""Sb""]","{""F"": 1.0, ""O"": 2.0, ""Os"": 1.0, ""Sb"": 1.0}",5,1.38
1028,Tl1 Pt1 N1 O1 F1,TlPtNOF,ABCDE,F-N-O-Pt-Tl,5,"[""F"", ""N"", ""O"", ""Pt"", ""Tl""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Pt"": 1.0, ""Tl"": 1.0}",5,1.2
1029,Ca1 Nb1 S1 O2,CaNbSO2,ABCD2,Ca-Nb-O-S,4,"[""Ca"", ""Nb"", ""O"", ""S""]","{""Ca"": 1.0, ""Nb"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.22
1030,Hf1 Re1 N2 O1,HfReN2O,ABCD2,Hf-N-O-Re,4,"[""Hf"", ""N"", ""O"", ""Re""]","{""Hf"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Re"": 1.0}",5,0.84
1031,K1 Ag1 O3,KAgO3,ABC3,Ag-K-O,3,"[""Ag"", ""K"", ""O""]","{""Ag"": 1.0, ""K"": 1.0, ""O"": 3.0}",5,1.56
1032,Ta1 Hg1 N2 O1,TaHgN2O,ABCD2,Hg-N-O-Ta,4,"[""Hg"", ""N"", ""O"", ""Ta""]","{""Hg"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Ta"": 1.0}",5,0.84
1033,In1 As1 S1 O2,InAsSO2,ABCD2,As-In-O-S,4,"[""As"", ""In"", ""O"", ""S""]","{""As"": 1.0, ""In"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,0.82
1034,Hf1 Ag1 O3,HfAgO3,ABC3,Ag-Hf-O,3,"[""Ag"", ""Hf"", ""O""]","{""Ag"": 1.0, ""Hf"": 1.0, ""O"": 3.0}",5,0.72
1035,Ti1 Sb1 O2 F1,TiSbO2F,ABCD2,F-O-Sb-Ti,4,"[""F"", ""O"", ""Sb"", ""Ti""]","{""F"": 1.0, ""O"": 2.0, ""Sb"": 1.0, ""Ti"": 1.0}",5,1.28
1036,Bi1 As1 N2 O1,BiAsN2O,ABCD2,As-Bi-N-O,4,"[""As"", ""Bi"", ""N"", ""O""]","{""As"": 1.0, ""Bi"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,0.96
1037,Rb1 In1 N1 O2,RbInNO2,ABCD2,In-N-O-Rb,4,"[""In"", ""N"", ""O"", ""Rb""]","{""In"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Rb"": 1.0}",5,2.62
1038,Cu1 Ni1 O2 F1,CuNiO2F,ABCD2,Cu-F-Ni-O,4,"[""Cu"", ""F"", ""Ni"", ""O""]","{""Cu"": 1.0, ""F"": 1.0, ""Ni"": 1.0, ""O"": 2.0}",5,1.36
1039,Hg1 Ir1 N1 O2,HgIrNO2,ABCD2,Hg-Ir-N-O,4,"[""Hg"", ""Ir"", ""N"", ""O""]","{""Hg"": 1.0, ""Ir"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.46
1040,Cs1 W1 N2 O1,CsWN2O,ABCD2,Cs-N-O-W,4,"[""Cs"", ""N"", ""O"", ""W""]","{""Cs"": 1.0, ""N"": 2.0, ""O"": 1.0, ""W"": 1.0}",5,2.62
1041,Sc1 Pb1 O3,ScPbO3,ABC3,O-Pb-Sc,3,"[""O"", ""Pb"", ""Sc""]","{""O"": 3.0, ""Pb"": 1.0, ""Sc"": 1.0}",5,1.6
1042,Cr1 Pb1 O3,CrPbO3,ABC3,Cr-O-Pb,3,"[""Cr"", ""O"", ""Pb""]","{""Cr"": 1.0, ""O"": 3.0, ""Pb"": 1.0}",5,0.14
1043,Ti1 Sn1 O2 F1,TiSnO2F,ABCD2,F-O-Sn-Ti,4,"[""F"", ""O"", ""Sn"", ""Ti""]","{""F"": 1.0, ""O"": 2.0, ""Sn"": 1.0, ""Ti"": 1.0}",5,0.32
1044,Y1 Zr1 O3,YZrO3,ABC3,O-Y-Zr,3,"[""O"", ""Y"", ""Zr""]","{""O"": 3.0, ""Y"": 1.0, ""Zr"": 1.0}",5,0.68
1045,Na1 Y1 O2 F1,NaYO2F,ABCD2,F-Na-O-Y,4,"[""F"", ""Na"", ""O"", ""Y""]","{""F"": 1.0, ""Na"": 1.0, ""O"": 2.0, ""Y"": 1.0}",5,0.64
1046,Zn1 Os1 O3,ZnOsO3,ABC3,O-Os-Zn,3,"[""O"", ""Os"", ""Zn""]","{""O"": 3.0, ""Os"": 1.0, ""Zn"": 1.0}",5,1.64
1047,Ge1 Rh1 S1 O2,GeRhSO2,ABCD2,Ge-O-Rh-S,4,"[""Ge"", ""O"", ""Rh"", ""S""]","{""Ge"": 1.0, ""O"": 2.0, ""Rh"": 1.0, ""S"": 1.0}",5,1.04
1048,Rb1 Mg1 N2 O1,RbMgN2O,ABCD2,Mg-N-O-Rb,4,"[""Mg"", ""N"", ""O"", ""Rb""]","{""Mg"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Rb"": 1.0}",5,3.96
1049,Ti1 Rh1 N1 O2,TiRhNO2,ABCD2,N-O-Rh-Ti,4,"[""N"", ""O"", ""Rh"", ""Ti""]","{""N"": 1.0, ""O"": 2.0, ""Rh"": 1.0, ""Ti"": 1.0}",5,0.88
1050,Mn1 Hg1 S1 O2,MnHgSO2,ABCD2,Hg-Mn-O-S,4,"[""Hg"", ""Mn"", ""O"", ""S""]","{""Hg"": 1.0, ""Mn"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.18
1051,Ba1 Pb1 O2 F1,BaPbO2F,ABCD2,Ba-F-O-Pb,4,"[""Ba"", ""F"", ""O"", ""Pb""]","{""Ba"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Pb"": 1.0}",5,1.1
1052,Ga1 Pb1 O3,GaPbO3,ABC3,Ga-O-Pb,3,"[""Ga"", ""O"", ""Pb""]","{""Ga"": 1.0, ""O"": 3.0, ""Pb"": 1.0}",5,0.52
1053,Ca1 Al1 N1 O2,CaAlNO2,ABCD2,Al-Ca-N-O,4,"[""Al"", ""Ca"", ""N"", ""O""]","{""Al"": 1.0, ""Ca"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.62
1054,Pt2 N1 O2,Pt2NO2,AB2C2,N-O-Pt,3,"[""N"", ""O"", ""Pt""]","{""N"": 1.0, ""O"": 2.0, ""Pt"": 2.0}",5,1.82
1055,Na1 As1 N1 O2,NaAsNO2,ABCD2,As-N-Na-O,4,"[""As"", ""N"", ""Na"", ""O""]","{""As"": 1.0, ""N"": 1.0, ""Na"": 1.0, ""O"": 2.0}",5,2.5
1056,Ca1 Ga1 N1 O1 F1,CaGaNOF,ABCDE,Ca-F-Ga-N-O,5,"[""Ca"", ""F"", ""Ga"", ""N"", ""O""]","{""Ca"": 1.0, ""F"": 1.0, ""Ga"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,0.76
1057,Ag1 Hg1 S1 O2,AgHgSO2,ABCD2,Ag-Hg-O-S,4,"[""Ag"", ""Hg"", ""O"", ""S""]","{""Ag"": 1.0, ""Hg"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.86
1058,Al1 Ge1 O3,AlGeO3,ABC3,Al-Ge-O,3,"[""Al"", ""Ge"", ""O""]","{""Al"": 1.0, ""Ge"": 1.0, ""O"": 3.0}",5,1.2
1059,Sb1 Pb1 O3,SbPbO3,ABC3,O-Pb-Sb,3,"[""O"", ""Pb"", ""Sb""]","{""O"": 3.0, ""Pb"": 1.0, ""Sb"": 1.0}",5,0.96
1060,K1 Rh1 O3,KRhO3,ABC3,K-O-Rh,3,"[""K"", ""O"", ""Rh""]","{""K"": 1.0, ""O"": 3.0, ""Rh"": 1.0}",5,0.88
1061,Ti1 Ni1 N1 O2,TiNiNO2,ABCD2,N-Ni-O-Ti,4,"[""N"", ""Ni"", ""O"", ""Ti""]","{""N"": 1.0, ""Ni"": 1.0, ""O"": 2.0, ""Ti"": 1.0}",5,0.7
1062,Re1 Hg1 N1 O1 F1,ReHgNOF,ABCDE,F-Hg-N-O-Re,5,"[""F"", ""Hg"", ""N"", ""O"", ""Re""]","{""F"": 1.0, ""Hg"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Re"": 1.0}",5,0.68
1063,Y1 Os1 N1 O1 F1,YOsNOF,ABCDE,F-N-O-Os-Y,5,"[""F"", ""N"", ""O"", ""Os"", ""Y""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Os"": 1.0, ""Y"": 1.0}",5,1.36
1064,Ga1 Si1 N1 O1 F1,GaSiNOF,ABCDE,F-Ga-N-O-Si,5,"[""F"", ""Ga"", ""N"", ""O"", ""Si""]","{""F"": 1.0, ""Ga"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Si"": 1.0}",5,1.62
1065,Nb1 Re1 N1 O1 F1,NbReNOF,ABCDE,F-N-Nb-O-Re,5,"[""F"", ""N"", ""Nb"", ""O"", ""Re""]","{""F"": 1.0, ""N"": 1.0, ""Nb"": 1.0, ""O"": 1.0, ""Re"": 1.0}",5,1.46
1066,Cu1 Sn1 N1 O2,CuSnNO2,ABCD2,Cu-N-O-Sn,4,"[""Cu"", ""N"", ""O"", ""Sn""]","{""Cu"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Sn"": 1.0}",5,1.24
1067,Sn1 Pd1 S1 O2,SnPdSO2,ABCD2,O-Pd-S-Sn,4,"[""O"", ""Pd"", ""S"", ""Sn""]","{""O"": 2.0, ""Pd"": 1.0, ""S"": 1.0, ""Sn"": 1.0}",5,1.1
1068,Re1 Bi1 O2 F1,ReBiO2F,ABCD2,Bi-F-O-Re,4,"[""Bi"", ""F"", ""O"", ""Re""]","{""Bi"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Re"": 1.0}",5,1.86
1069,V1 Au1 S1 O2,VAuSO2,ABCD2,Au-O-S-V,4,"[""Au"", ""O"", ""S"", ""V""]","{""Au"": 1.0, ""O"": 2.0, ""S"": 1.0, ""V"": 1.0}",5,0.74
1070,Ca1 Pb1 O2 F1,CaPbO2F,ABCD2,Ca-F-O-Pb,4,"[""Ca"", ""F"", ""O"", ""Pb""]","{""Ca"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Pb"": 1.0}",5,0.78
1071,Be1 Pt1 S1 O2,BePtSO2,ABCD2,Be-O-Pt-S,4,"[""Be"", ""O"", ""Pt"", ""S""]","{""Be"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""S"": 1.0}",5,1.6
1072,Zn1 Ge1 N1 O1 F1,ZnGeNOF,ABCDE,F-Ge-N-O-Zn,5,"[""F"", ""Ge"", ""N"", ""O"", ""Zn""]","{""F"": 1.0, ""Ge"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Zn"": 1.0}",5,1.3
