sample_id,split_strategy,test_element_set,nearest_train_element_set,max_jaccard_similarity,n_shared_elements,n_test_elements,n_train_elements_nearest,target
12970,random_iid,Ba-In-N,Ba-In-N,1.0,3,3,3,1.68
13003,random_iid,Cd-F-N-O-Ta,Cd-F-N-O-Ta,1.0,5,5,5,2.28
13004,random_iid,Al-Fe-N-O,Al-Fe-N-O,1.0,4,4,4,1.24
13010,random_iid,Ag-N-O-Ti,Ag-N-O-Ti,1.0,4,4,4,1.34
13015,random_iid,N-Pt-Re,N-Pt-Re,1.0,3,3,3,1.38
13022,random_iid,Fe-O-S-W,Fe-O-S-W,1.0,4,4,4,0.9
13029,random_iid,Hf-O-S-Si,Hf-O-S-Si,1.0,4,4,4,1.22
13044,random_iid,Ca-N-Nb-O,Ca-N-Nb-O,1.0,4,4,4,1.74
13068,random_iid,Mg-O-Rb-S,Mg-O-Rb-S,1.0,4,4,4,2.98
13082,random_iid,Mg-O-S-Sb,Mg-O-S-Sb,1.0,4,4,4,0.94
13096,random_iid,Cd-O-Sr,Cd-F-O-Sr,0.75,3,3,4,1.68
13098,random_iid,Au-N-O-Zn,Au-N-O-Zn,1.0,4,4,4,2.04
13100,random_iid,F-N-O-Sb-Sr,F-N-O-Sb-Sr,1.0,5,5,5,2.0
13173,random_iid,Co-F-O-Rh,Co-F-N-O-Rh,0.8,4,4,5,1.22
13174,random_iid,Ge-O-S-Sr,Ge-O-S,0.75,3,4,3,1.16
13195,random_iid,Mo-O-S-Te,Mo-O-S-Te,1.0,4,4,4,1.16
13201,random_iid,F-La-O-Re,F-La-O-Re,1.0,4,4,4,1.18
13204,random_iid,Cs-F-O-Re,Cs-F-O-Re,1.0,4,4,4,3.2
13205,random_iid,F-Hf-O-W,F-Hf-O-W,1.0,4,4,4,1.46
13212,random_iid,N-Os-Pt,N-Os-Pt,1.0,3,3,3,1.76
13241,random_iid,B-N-Ti,B-N-Ti,1.0,3,3,3,1.54
13253,random_iid,F-N-O-V-Zr,F-N-O-V-Zr,1.0,5,5,5,1.1
13275,random_iid,Cr-Cu-N-O,Cr-Cu-N-O,1.0,4,4,4,0.96
13310,random_iid,N-O-Sc-Ti,N-O-Sc-Ti,1.0,4,4,4,0.9
13313,random_iid,Ge-O-S-Sc,Ge-O-S,0.75,3,4,3,0.94
13316,random_iid,Al-N-O-Ta,Al-F-N-O-Ta,0.8,4,4,5,0.58
13325,random_iid,Al-Ca-F-N-O,Al-Ca-F-N-O,1.0,5,5,5,0.7
13328,random_iid,F-Ir-O-Sr,F-Ir-O-Sr,1.0,4,4,4,1.0
13332,random_iid,Mo-N-O-Zn,Mo-N-O-Zn,1.0,4,4,4,1.5
13335,random_iid,O-S-W-Y,O-S-W-Y,1.0,4,4,4,0.88
13337,random_iid,La-N-O-V,La-N-O-V,1.0,4,4,4,0.1
13338,random_iid,K-La-N-O,K-La-N-O,1.0,4,4,4,2.92
13346,random_iid,F-N-Nb-O-Pd,F-N-Nb-O-Pd,1.0,5,5,5,1.8
13361,random_iid,Ga-N-O-Sr,Ga-N-O-Sr,1.0,4,4,4,2.74
13362,random_iid,Ba-F-N-O-Sn,Ba-F-N-O-Sn,1.0,5,5,5,1.7
13369,random_iid,Ge-O-Si,Ge-O-Si,1.0,3,3,3,0.56
13376,random_iid,Cr-La-N-O,Cr-La-N-O,1.0,4,4,4,1.22
13396,random_iid,F-O-Tl-Zr,F-O-Tl-Zr,1.0,4,4,4,0.06
13397,random_iid,Au-Li-N-O,Au-Li-N-O,1.0,4,4,4,2.46
13398,random_iid,N-O-Ru-Si,N-O-Ru-Si,1.0,4,4,4,1.42
13406,random_iid,O-Rb-Ta,O-Rb-Ta,1.0,3,3,3,1.66
13416,random_iid,F-N-Na-O-Ru,F-N-Na-O-Ru,1.0,5,5,5,2.64
13418,random_iid,F-K-O-Re,F-K-O-Re,1.0,4,4,4,0.56
13431,random_iid,Ag-Cu-O,Ag-Cu-O,1.0,3,3,3,1.74
13436,random_iid,F-O-Ru-V,F-N-O-Ru-V,0.8,4,4,5,1.36
13447,random_iid,Ba-N-O-Sn,Ba-N-O-Sn,1.0,4,4,4,0.42
13454,random_iid,Ba-N-O-W,Ba-N-O-W,1.0,4,4,4,1.72
13473,random_iid,O-Os-Sc,O-Os-Sc,1.0,3,3,3,1.48
13483,random_iid,Cu-F-Nb-O,Cu-F-Nb-O,1.0,4,4,4,0.4
13491,random_iid,B-O-Zr,B-O-Zr,1.0,3,3,3,1.82
13508,random_iid,Cs-F-N-O-Re,Cs-F-N-O,0.8,4,5,4,3.56
13522,random_iid,F-Ir-K-O,F-Ir-K-O,1.0,4,4,4,3.42
13524,random_iid,Hg-Mo-O,Hg-Mo-O,1.0,3,3,3,0.5
13529,random_iid,Ca-N-Ni,Ca-N-Ni,1.0,3,3,3,3.58
13556,random_iid,Li-N-O-Pt,Li-N-O-Pt,1.0,4,4,4,1.64
13566,random_iid,Fe-N-O-Te,Fe-N-O-Te,1.0,4,4,4,1.74
13582,random_iid,In-N-Sc,In-N-Sc,1.0,3,3,3,1.58
13590,random_iid,Au-B-F-O,Au-B-F-O,1.0,4,4,4,2.96
13604,random_iid,F-Hg-O-Os,F-Hg-O-Os,1.0,4,4,4,2.36
13613,random_iid,Bi-N-Sn,Bi-N-O-Sn,0.75,3,3,4,1.56
13619,random_iid,Ag-N-Y,Ag-N-O-Y,0.75,3,3,4,2.12
13626,random_iid,Co-Ir-N-O,Co-Ir-N-O,1.0,4,4,4,1.46
13637,random_iid,N-Tl-Zn,N-O-Tl-Zn,0.75,3,3,4,2.24
13639,random_iid,Cs-F-In-N-O,Cs-F-In-N-O,1.0,5,5,5,2.56
13641,random_iid,Ba-F-O-Sn,Ba-F-O-Sn,1.0,4,4,4,1.24
13646,random_iid,B-O-S-Sn,B-O-S-Sn,1.0,4,4,4,1.22
13648,random_iid,Hg-La-O,Hg-La-O,1.0,3,3,3,1.32
13649,random_iid,Ge-N-Zr,Ge-N-Zr,1.0,3,3,3,0.94
13651,random_iid,F-O-Pb-Ti,F-O-Pb-Ti,1.0,4,4,4,0.3
13658,random_iid,Ca-Mn-O-S,Ca-Mn-O-S,1.0,4,4,4,0.98
13666,random_iid,Al-F-O-Si,Al-F-O-Si,1.0,4,4,4,0.88
13668,random_iid,F-Mo-N-O,Ag-F-Mo-N-O,0.8,4,4,5,1.1
13672,random_iid,Mg-N-Ti,Mg-N-Ti,1.0,3,3,3,1.5
13683,random_iid,Li-O-V,Li-O-V,1.0,3,3,3,0.18
13684,random_iid,B-Hf-O-S,B-Hf-O,0.75,3,4,3,1.36
13685,random_iid,Al-Ca-F-O,Al-Ca-F-O,1.0,4,4,4,0.1
13696,random_iid,Ag-O-S-Ti,Ag-O-S-Ti,1.0,4,4,4,2.12
13706,random_iid,N-O-Sn-Ta,N-O-Sn-Ta,1.0,4,4,4,1.12
13710,random_iid,Na-O-Tl,Na-O-Tl,1.0,3,3,3,1.34
13736,random_iid,Au-F-O-Y,Au-F-N-O-Y,0.8,4,4,5,1.12
13755,random_iid,O-Ru-Sn,O-Ru-Sn,1.0,3,3,3,0.8
13799,random_iid,N-Rb-Re,N-Rb-Re,1.0,3,3,3,1.28
13814,random_iid,Hf-O-Sc,Hf-O-Sc,1.0,3,3,3,0.36
13824,random_iid,Ag-N-O-Re,Ag-N-O-Re,1.0,4,4,4,2.8
13829,random_iid,N-Sn-W,N-O-Sn-W,0.75,3,3,4,1.52
13835,random_iid,La-N-Zr,La-N-O-Zr,0.75,3,3,4,0.5
13837,random_iid,As-N-O-Zn,As-N-O-Zn,1.0,4,4,4,1.68
13848,random_iid,N-Pt-Ta,N-Pt-Ta,1.0,3,3,3,1.78
13852,random_iid,Au-B-O-S,Au-B-O,0.75,3,4,3,2.28
13853,random_iid,F-Na-O,Ag-F-Na-O,0.75,3,3,4,1.72
13861,random_iid,Hf-Mo-N-O,Hf-Mo-N-O,1.0,4,4,4,1.42
13876,random_iid,Cs-Mg-O,Cs-F-Mg-O,0.75,3,3,4,1.86
13880,random_iid,O-S-Sn-Te,O-S-Sn-Te,1.0,4,4,4,1.0
13892,random_iid,N-Nb-O-Re,N-Nb-O-Re,1.0,4,4,4,1.16
13903,random_iid,Bi-Ni-O,Bi-Ni-O,1.0,3,3,3,1.56
13920,random_iid,Ag-In-N-O,Ag-In-N-O,1.0,4,4,4,1.56
13934,random_iid,Hg-O-Pb-S,Hg-O-Pb,0.75,3,4,3,1.4
13940,random_iid,Ag-N-Ru,Ag-N-Ru,1.0,3,3,3,1.94
13953,random_iid,Cr-Cs-N-O,Cr-Cs-N-O,1.0,4,4,4,1.72
13954,random_iid,Cu-F-N-O-Zr,Cu-F-N-O-Zr,1.0,5,5,5,1.46
13958,random_iid,N-O-Ru-Zr,N-O-Ru-Zr,1.0,4,4,4,0.96
13967,random_iid,Ga-N-O-Y,Ga-N-O-Y,1.0,4,4,4,0.84
13987,random_iid,La-N-O-Pd,La-N-O-Pd,1.0,4,4,4,1.02
14004,random_iid,Be-N-O-Os,Be-N-O-Os,1.0,4,4,4,2.0
14006,random_iid,F-O-Os-V,F-O-Os-V,1.0,4,4,4,1.44
14013,random_iid,Mg-O-S-Ti,Mg-O-S-Ti,1.0,4,4,4,0.5
14018,random_iid,F-Ge-N-Ni-O,F-Ge-N-Ni-O,1.0,5,5,5,1.14
14032,random_iid,F-O-Pd-Sc,F-N-O-Pd-Sc,0.8,4,4,5,1.0
14038,random_iid,F-Fe-O-Ti,F-Fe-O-Ti,1.0,4,4,4,1.1
14044,random_iid,Au-Cu-N-O,Au-Cu-N-O,1.0,4,4,4,2.08
14045,random_iid,Li-O-S-Ta,Li-O-S,0.75,3,4,3,1.22
14064,random_iid,F-Mo-O-V,F-Mo-O-V,1.0,4,4,4,0.84
14067,random_iid,Au-N-O-Os,Au-N-O-Os,1.0,4,4,4,1.44
14076,random_iid,Ag-Cr-N-O,Ag-Cr-N-O,1.0,4,4,4,1.2
14090,random_iid,Bi-Cu-O-S,Bi-Cu-O,0.75,3,4,3,0.98
14128,random_iid,Ni-O-Pd,Ni-O-Pd,1.0,3,3,3,2.0
14132,random_iid,Cr-F-O-Sn,Cr-F-O-Sn,1.0,4,4,4,0.7
14142,random_iid,Li-N-O-Te,Li-N-O-Te,1.0,4,4,4,2.04
14147,random_iid,O-Pb-V,O-Pb-V,1.0,3,3,3,1.46
14159,random_iid,Ag-N-Sn,Ag-N-O-Sn,0.75,3,3,4,1.72
14173,random_iid,Fe-K-O-S,Fe-K-O-S,1.0,4,4,4,3.7
14190,random_iid,Cs-In-O-S,Cs-In-O-S,1.0,4,4,4,2.62
14198,random_iid,Be-Ca-N-O,Be-Ca-N-O,1.0,4,4,4,1.86
14209,random_iid,Cu-F-O-Zr,Cu-F-O-Zr,1.0,4,4,4,1.44
14213,random_iid,Cd-F-O-Rb,Cd-F-O-Rb,1.0,4,4,4,1.08
14248,random_iid,Ga-N-O-Sb,Ga-N-O-Sb,1.0,4,4,4,1.02
14266,random_iid,As-N-O-W,As-N-O-W,1.0,4,4,4,1.26
14272,random_iid,Ag-Al-N,Ag-Al-N,1.0,3,3,3,1.88
14273,random_iid,Na-O-Si,Na-O-Si,1.0,3,3,3,1.94
14279,random_iid,Mn-Ni-O,Mn-Ni-O,1.0,3,3,3,0.96
14316,random_iid,Mg-N-O-Sn,Mg-N-O-Sn,1.0,4,4,4,0.76
14322,random_iid,Co-Cs-O,Co-Cs-O,1.0,3,3,3,3.06
14327,random_iid,Cd-N-O-Sn,Cd-N-O-Sn,1.0,4,4,4,1.28
14333,random_iid,Au-Ge-N-O,Au-Ge-N-O,1.0,4,4,4,1.82
14335,random_iid,Fe-N-Nb-O,Fe-N-Nb-O,1.0,4,4,4,0.52
14336,random_iid,F-Li-N-O-Pd,F-Li-N-O-Pd,1.0,5,5,5,1.66
14344,random_iid,Cd-F-Ni-O,Cd-F-N-Ni-O,0.8,4,4,5,1.76
14353,random_iid,N-O-Si-Sn,N-O-Si-Sn,1.0,4,4,4,1.04
14368,random_iid,F-N-O-Os-Ru,F-N-O-Os-Ru,1.0,5,5,5,1.94
14374,random_iid,Co-F-La-O,Co-F-La-O,1.0,4,4,4,1.66
14375,random_iid,Bi-Ge-O-S,Bi-Ge-O,0.75,3,4,3,0.94
14381,random_iid,F-Hf-Hg-O,F-Hf-Hg-O,1.0,4,4,4,1.58
14383,random_iid,As-Nb-O,As-Nb-O,1.0,3,3,3,1.42
14384,random_iid,B-O-Sn,B-O-Sn,1.0,3,3,3,2.18
14395,random_iid,Ba-F-Ir-O,Ba-F-Ir-O,1.0,4,4,4,0.9
14399,random_iid,F-Ge-O-Si,F-Ge-N-O-Si,0.8,4,4,5,1.46
14400,random_iid,Ag-Be-F-O,Ag-Be-F-N-O,0.8,4,4,5,2.54
14417,random_iid,F-Fe-O-Si,F-Fe-O-Si,1.0,4,4,4,1.32
14429,random_iid,B-O-S-Sb,B-O-S-Sb,1.0,4,4,4,1.02
14441,random_iid,N-Na-Ni-O,N-Na-Ni-O,1.0,4,4,4,1.56
14448,random_iid,Cd-O-S-Zr,Cd-O-S,0.75,3,4,3,0.68
14450,random_iid,N-Pb-Sb,N-Pb-Sb,1.0,3,3,3,1.38
14455,random_iid,Ge-N-O-Y,Ge-N-O-Y,1.0,4,4,4,1.94
14461,random_iid,K-Mo-O-S,K-Mo-O,0.75,3,4,3,0.74
14465,random_iid,Ba-F-K-O,Ba-F-K-O,1.0,4,4,4,1.12
14492,random_iid,N-O-Sb-Y,N-O-Sb-Y,1.0,4,4,4,1.04
14493,random_iid,La-N-O-Zr,La-N-O-Zr,1.0,4,4,4,2.14
14503,random_iid,F-Hg-N-O-V,F-Hg-N-O,0.8,4,5,4,2.4
14511,random_iid,Cr-N-O-Y,Cr-N-O-Y,1.0,4,4,4,0.4
14520,random_iid,Cr-O-Sc,Cr-F-O-Sc,0.75,3,3,4,0.28
14525,random_iid,As-F-O-Re,As-F-O-Re,1.0,4,4,4,1.02
14526,random_iid,Ba-N-Pd,Ba-N-Pd,1.0,3,3,3,3.26
14539,random_iid,N-O-Ru-Ti,N-O-Ru-Ti,1.0,4,4,4,1.7
14554,random_iid,F-In-O-Rh,F-In-O-Rh,1.0,4,4,4,1.0
14569,random_iid,Hg-N-V,Hg-N-V,1.0,3,3,3,2.72
14586,random_iid,Al-F-N-O-Tl,Al-F-N-O-Tl,1.0,5,5,5,2.36
14602,random_iid,Au-F-N-O-Rb,Au-F-N-O-Rb,1.0,5,5,5,1.78
14606,random_iid,Bi-Li-N-O,Bi-Li-N-O,1.0,4,4,4,2.06
14613,random_iid,N-Na-Os,N-Na-Os,1.0,3,3,3,2.18
14617,random_iid,Ir-O-Rb,Ir-O-Rb,1.0,3,3,3,0.86
14633,random_iid,Al-N-O-Rh,Al-N-O-Rh,1.0,4,4,4,1.46
14651,random_iid,Au-F-O-Tl,Au-F-O-Tl,1.0,4,4,4,1.18
14658,random_iid,Cd-N-O-Sr,Cd-N-O-Sr,1.0,4,4,4,2.82
14676,random_iid,O-Re-S-Zn,O-Re-S-Zn,1.0,4,4,4,1.66
14682,random_iid,Mn-O-S-Sn,Mn-O-Sn,0.75,3,4,3,0.68
14685,random_iid,Au-Fe-O-S,Au-Fe-O-S,1.0,4,4,4,1.3
14689,random_iid,Cd-N-Na-O,Cd-N-Na-O,1.0,4,4,4,2.14
14691,random_iid,Ge-Nb-O-S,Ge-Nb-O-S,1.0,4,4,4,0.5
14699,random_iid,N-Os-Re,N-Os-Re,1.0,3,3,3,2.04
14702,random_iid,N-Si-Te,N-O-Si-Te,0.75,3,3,4,1.36
14714,random_iid,Al-N-O-W,Al-N-O-W,1.0,4,4,4,1.2
14718,random_iid,Ba-Ga-N-O,Ba-Ga-N-O,1.0,4,4,4,2.18
14726,random_iid,N-O-Sn-Sr,N-O-Sn-Sr,1.0,4,4,4,0.52
14731,random_iid,Ca-Co-N,Ca-Co-N,1.0,3,3,3,2.0
14735,random_iid,Al-O-S-Ti,Al-O-S-Ti,1.0,4,4,4,0.92
14736,random_iid,Ba-Nb-O,Ba-F-Nb-O,0.75,3,3,4,2.46
14739,random_iid,Be-F-Fe-O,Be-F-Fe-N-O,0.8,4,4,5,1.14
14741,random_iid,Li-O-Re-S,Li-O-Re-S,1.0,4,4,4,2.5
14752,random_iid,Cr-N-Rh,Cr-N-Rh,1.0,3,3,3,1.14
14759,random_iid,Ga-Hf-O,Ga-Hf-O,1.0,3,3,3,0.76
14761,random_iid,B-O-Sc,B-O-Sc,1.0,3,3,3,0.84
14763,random_iid,F-In-O-Os,F-In-O-Os,1.0,4,4,4,1.04
14771,random_iid,As-N-O-Tl,As-N-O-Tl,1.0,4,4,4,1.5
14782,random_iid,O-S-Sc-Ta,O-S-Sc-Ta,1.0,4,4,4,1.14
14783,random_iid,F-Ir-O-Te,F-Ir-N-O-Te,0.8,4,4,5,1.76
14787,random_iid,N-Rh-Sc,N-O-Rh-Sc,0.75,3,3,4,1.48
14807,random_iid,Au-N-O-Pd,Au-N-O-Pd,1.0,4,4,4,2.32
14809,random_iid,O-Pd-Ta,O-Pd-Ta,1.0,3,3,3,0.28
14814,random_iid,Cu-F-N-O-Te,Cu-F-N-O-Te,1.0,5,5,5,1.08
14822,random_iid,Al-F-O-Sn,Al-F-O-Sn,1.0,4,4,4,1.3
14825,random_iid,Cs-F-Mn-N-O,Cs-F-Mn-N-O,1.0,5,5,5,1.24
14838,random_iid,B-Hf-O-S,B-Hf-O,0.75,3,4,3,1.16
14840,random_iid,Co-F-Fe-O,Co-F-Fe-O,1.0,4,4,4,0.94
14847,random_iid,N-O-V,N-O-V,1.0,3,3,3,0.7
14850,random_iid,Cu-La-O,Cu-La-O,1.0,3,3,3,0.54
14853,random_iid,Cr-N-Pt,Cr-N-O-Pt,0.75,3,3,4,1.22
14854,random_iid,Hg-N-O-Sr,Hg-N-O-Sr,1.0,4,4,4,2.8
14861,random_iid,Ga-N-Pt,Ga-N-Pt,1.0,3,3,3,2.28
14866,random_iid,F-Hg-O-V,F-O-V,0.75,3,4,3,2.12
14902,random_iid,F-Hg-Li-O,F-Hg-Li-O,1.0,4,4,4,1.68
14903,random_iid,Ir-O-S-Sr,Ir-O-S-Sr,1.0,4,4,4,1.5
14905,random_iid,Al-F-Mo-N-O,Al-F-Mo-N-O,1.0,5,5,5,1.38
14913,random_iid,N-Na-O-Rb,N-Na-O-Rb,1.0,4,4,4,3.74
14917,random_iid,Nb-O-S-Y,Nb-O-S,0.75,3,4,3,0.7
14923,random_iid,Hg-N-O-Y,Hg-N-O-Y,1.0,4,4,4,1.64
14938,random_iid,N-Sb-Zn,N-Sb-Zn,1.0,3,3,3,1.88
14946,random_iid,Cd-F-N-O-Y,Cd-F-N-O-Y,1.0,5,5,5,1.12
14953,random_iid,F-Hf-N-O-Rb,F-Hf-N-O-Rb,1.0,5,5,5,0.84
14955,random_iid,Be-F-Nb-O,Be-F-N-Nb-O,0.8,4,4,5,0.84
14983,random_iid,O-Ru-S-Sr,O-Ru-S-Sr,1.0,4,4,4,0.88
14994,random_iid,Cr-N-Na-O,Cr-N-Na-O,1.0,4,4,4,1.22
14995,random_iid,Cs-N-Zn,Cs-N-Zn,1.0,3,3,3,2.88
15010,random_iid,Ga-N-O-Sn,Ga-N-O-Sn,1.0,4,4,4,1.14
15015,random_iid,N-O-Te-Zn,N-O-Te-Zn,1.0,4,4,4,1.28
15016,random_iid,F-Hf-N-O-Pd,F-Hf-N-O,0.8,4,5,4,2.06
15045,random_iid,O-Ta-V,O-Ta-V,1.0,3,3,3,0.44
15054,random_iid,Bi-N-O-Os,Bi-N-O-Os,1.0,4,4,4,1.04
15067,random_iid,F-La-O-Pb,F-La-O-Pb,1.0,4,4,4,0.54
15103,random_iid,As-F-N-O-Y,As-F-N-O-Y,1.0,5,5,5,1.18
15108,random_iid,Bi-F-O-Tl,Bi-F-O-Tl,1.0,4,4,4,1.06
15116,random_iid,F-O-Sc-W,F-O-Sc-W,1.0,4,4,4,1.42
15120,random_iid,O-Re-S-Te,O-Re-S-Te,1.0,4,4,4,1.1
15121,random_iid,Au-Hg-N-O,Au-Hg-N-O,1.0,4,4,4,2.72
15123,random_iid,Al-As-N,Al-As-N,1.0,3,3,3,1.98
15126,random_iid,Cr-Ir-N-O,Cr-Ir-N-O,1.0,4,4,4,1.18
15139,random_iid,Co-F-N-O-Ru,Co-F-N-O-Ru,1.0,5,5,5,1.44
15150,random_iid,N-Ni-W,N-Ni-W,1.0,3,3,3,1.2
15161,random_iid,Cs-F-O-Ta,Cs-F-O-Ta,1.0,4,4,4,3.34
15186,random_iid,La-O-S-Sn,La-O-S-Sn,1.0,4,4,4,0.6
15196,random_iid,F-N-O-Tl-Zr,F-N-O-Tl-Zr,1.0,5,5,5,2.18
15204,random_iid,Ga-O-Pt,F-Ga-O-Pt,0.75,3,3,4,1.3
15211,random_iid,Ba-F-N-O-Pd,Ba-F-N-O-Pd,1.0,5,5,5,1.12
15214,random_iid,Al-F-N-O-Sc,Al-F-N-O,0.8,4,5,4,0.72
15218,random_iid,Al-Ba-N,Al-Ba-N,1.0,3,3,3,3.58
15219,random_iid,Hf-N-O-Pt,Hf-N-O-Pt,1.0,4,4,4,1.64
15231,random_iid,Bi-F-O-Sn,Bi-F-O-Sn,1.0,4,4,4,0.66
15262,random_iid,B-N-Te,B-N-Te,1.0,3,3,3,3.04
15288,random_iid,F-O-Pd-Rh,F-O-Pd-Rh,1.0,4,4,4,1.28
15290,random_iid,Be-N-O-Zr,Be-N-O-Zr,1.0,4,4,4,0.92
15293,random_iid,K-O-S-V,K-O-S-V,1.0,4,4,4,0.68
15296,random_iid,As-K-N-O,As-K-N-O,1.0,4,4,4,2.92
15298,random_iid,O-Ru-Sb,O-Ru-Sb,1.0,3,3,3,0.94
15300,random_iid,La-N-O-Ti,La-N-O-Ti,1.0,4,4,4,1.6
15310,random_iid,Ir-Mo-N-O,Ir-Mo-N-O,1.0,4,4,4,1.46
15361,random_iid,Ca-O-W,Ca-O-W,1.0,3,3,3,0.1
15362,random_iid,Cu-O-Pb,Cu-O-Pb,1.0,3,3,3,1.1
15377,random_iid,B-N-Ni-O,B-N-Ni-O,1.0,4,4,4,2.04
15389,random_iid,Cr-F-K-N-O,Cr-F-K-N-O,1.0,5,5,5,2.76
15405,random_iid,As-N-O-Pd,As-N-O-Pd,1.0,4,4,4,1.48
15423,random_iid,Ag-N-Pd,Ag-N-Pd,1.0,3,3,3,1.96
15448,random_iid,B-F-Hg-N-O,B-F-Hg-N-O,1.0,5,5,5,1.6
15450,random_iid,Co-N-O-Pt,Co-N-O-Pt,1.0,4,4,4,1.82
15455,random_iid,Ge-N-O-Rb,Ge-N-O-Rb,1.0,4,4,4,2.88
15461,random_iid,Bi-F-N-O-Tl,Bi-F-N-O-Tl,1.0,5,5,5,1.38
15474,random_iid,Cd-Li-O-S,Cd-Li-O-S,1.0,4,4,4,1.98
15479,random_iid,As-Co-N-O,As-Co-N-O,1.0,4,4,4,1.18
15489,random_iid,Mn-N-Sc,Mn-N-Sc,1.0,3,3,3,1.4
15491,random_iid,F-N-O-Re-Sb,F-N-O-Re-Sb,1.0,5,5,5,1.04
15510,random_iid,Au-Mn-O,Au-Mn-O,1.0,3,3,3,1.08
15528,random_iid,N-Pb-Zn,N-O-Pb-Zn,0.75,3,3,4,1.94
15538,random_iid,F-N-O-Os-Rh,F-N-O-Os-Rh,1.0,5,5,5,1.22
15542,random_iid,Fe-Hf-O,Fe-Hf-O,1.0,3,3,3,0.76
15556,random_iid,K-N-Y,K-N-Y,1.0,3,3,3,2.14
15567,random_iid,N-O-Ti-Y,N-O-Ti-Y,1.0,4,4,4,0.26
15568,random_iid,F-N-Ni-O-Os,F-N-Ni-O-Os,1.0,5,5,5,1.24
15570,random_iid,Ag-N-O-W,Ag-N-O-W,1.0,4,4,4,0.68
15590,random_iid,N-Pt-W,N-O-Pt-W,0.75,3,3,4,0.84
15617,random_iid,Mg-O-Pt,F-Mg-O-Pt,0.75,3,3,4,1.1
15619,random_iid,Mg-N-Na-O,Mg-N-Na-O,1.0,4,4,4,3.22
15626,random_iid,F-Li-O-Zn,F-Li-O-Zn,1.0,4,4,4,1.62
15628,random_iid,Cs-O-Sc,Cs-O-Sc,1.0,3,3,3,0.76
15633,random_iid,N-Pd-Zr,N-O-Pd-Zr,0.75,3,3,4,1.28
15648,random_iid,O-Rb-S-Sc,O-Rb-S-Sc,1.0,4,4,4,1.26
15660,random_iid,F-K-N-O-Te,F-K-N-O-Te,1.0,5,5,5,1.06
15667,random_iid,Cs-N-O-Y,Cs-N-O-Y,1.0,4,4,4,3.32
15672,random_iid,Cs-F-Fe-N-O,Cs-F-Fe-N-O,1.0,5,5,5,2.66
15676,random_iid,La-Mn-N-O,La-Mn-N-O,1.0,4,4,4,2.26
15687,random_iid,Cu-F-N-O-Tl,Cu-F-N-O-Tl,1.0,5,5,5,1.68
15689,random_iid,Ca-O-Ru,Ca-O-Ru,1.0,3,3,3,2.22
15692,random_iid,Cs-F-Mg-N-O,Cs-F-Mg-N-O,1.0,5,5,5,1.9
15693,random_iid,N-Ni-O-Sn,N-Ni-O-Sn,1.0,4,4,4,1.3
15695,random_iid,N-O-Re-Sr,N-O-Re-Sr,1.0,4,4,4,1.92
15709,random_iid,Cd-La-N-O,Cd-La-N-O,1.0,4,4,4,1.48
15737,random_iid,Ga-N-Nb,Ga-N-Nb,1.0,3,3,3,0.98
15744,random_iid,Cd-N-O-Ti,Cd-N-O-Ti,1.0,4,4,4,2.32
15771,random_iid,Au-Mo-N-O,Au-Mo-N-O,1.0,4,4,4,1.86
15786,random_iid,N-Ru-Sb,N-Ru-Sb,1.0,3,3,3,2.08
15791,random_iid,Hf-N-Nb-O,Hf-N-Nb-O,1.0,4,4,4,1.4
15792,random_iid,F-O-Rb-V,F-O-Rb-V,1.0,4,4,4,2.96
15802,random_iid,In-Li-N,In-Li-N-O,0.75,3,3,4,2.48
15804,random_iid,Ag-B-N-O,Ag-B-N-O,1.0,4,4,4,2.1
15818,random_iid,F-O-Pd-Zr,F-N-O-Pd-Zr,0.8,4,4,5,0.6
15821,random_iid,In-N-Ni-O,In-N-Ni-O,1.0,4,4,4,1.44
15849,random_iid,Ag-F-Mg-N-O,Ag-F-Mg-N-O,1.0,5,5,5,1.7
15865,random_iid,As-O-S-Te,As-O-S,0.75,3,4,3,1.1
15872,random_iid,N-Pt-W,N-O-Pt-W,0.75,3,3,4,1.68
15875,random_iid,Ca-O-S,Ag-Ca-O-S,0.75,3,3,4,1.52
15877,random_iid,F-Ge-N-O-Pt,F-Ge-N-O,0.8,4,5,4,1.34
15878,random_iid,Ca-Hf-N-O,Ca-Hf-N-O,1.0,4,4,4,1.96
15879,random_iid,F-O-Os-Rh,F-O-Os-Rh,1.0,4,4,4,1.44
15903,random_iid,Co-F-Ga-O,Co-F-Ga-N-O,0.8,4,4,5,0.8
15905,random_iid,K-O-S-Sc,K-O-S-Sc,1.0,4,4,4,2.98
15911,random_iid,N-Sn-Tl,N-Sn-Tl,1.0,3,3,3,2.38
15912,random_iid,Cr-Li-O-S,Cr-Li-O-S,1.0,4,4,4,0.78
15916,random_iid,Al-O-Re,Al-O-Re,1.0,3,3,3,1.36
15926,random_iid,Co-Mn-N-O,Co-Mn-N-O,1.0,4,4,4,1.0
15928,random_iid,Ba-Cr-F-O,Ba-Cr-F-N-O,0.8,4,4,5,-0.06
15937,random_iid,As-O-S-Y,As-O-S-Y,1.0,4,4,4,0.92
15961,random_iid,O-S-Sc-Tl,O-S-Sc-Tl,1.0,4,4,4,1.08
15973,random_iid,As-N-O-Ta,As-N-O-Ta,1.0,4,4,4,1.24
